"","state","county","latitude","longitude"
"427","OH","Carroll",40.578903875,-81.1170585
"428","TN","Carroll",35.9592128461538,-88.4461449230769
"429","VA","Carroll",36.6952925714286,-80.6772284285714
"430","TX","Carson",35.3892475,-101.231889
"431","NV","Carson City",39.1662105555556,-119.769383888889
"432","KY","Carter",38.2911635555556,-83.0828932222222
"433","MO","Carter",36.93320525,-90.96022225
"434","MT","Carter",45.6331832,-104.559253
"435","OK","Carter",34.2542365384615,-97.2433538461539
"436","TN","Carter",36.3201885,-82.1657451666667
"437","NC","Carteret",34.8336582352941,-76.6425258823529
"438","MN","Carver",44.8120446111111,-93.7754123333333
"439","MT","Cascade",47.400979,-111.374266333333
"440","KY","Casey",37.258536,-84.8910216666667
"441","IA","Cass",41.320957,-94.95687375
"442","IL","Cass",39.9650378333333,-90.2267325
"443","IN","Cass",40.7742133,-86.2982982
"444","MI","Cass",41.900617,-85.9226907142857
"445","MN","Cass",46.995887,-94.3328438333333
"446","MO","Cass",38.6609908333333,-94.352518
"447","ND","Cass",46.9226005277778,-97.1619342222222
"448","NE","Cass",40.9146134666667,-96.1667782666667
"449","TX","Cass",33.0507485454545,-94.3331098181818
"450","ID","Cassia",42.3026601666667,-113.606110333333
"451","TX","Castro",34.550566,-102.24554425
"452","NC","Caswell",36.424946,-79.3042971428571
"453","LA","Catahoula",31.7324371666667,-91.8168621666667
"454","PR","Catano",18.4404305,-66.13985
"455","NC","Catawba",35.6658924,-81.1545836
"456","GA","Catoosa",34.933485,-85.1448436666667
"457","NM","Catron",33.765482,-108.582577714286
"458","NY","Cattaraugus",42.2985543636364,-78.6803713636364
"459","ND","Cavalier",48.7474681818182,-98.4436164545454
"460","PR","Cayey",18.102967,-66.139274
"461","NY","Cayuga",42.9484061578947,-76.5812301052632
"462","MD","Cecil",39.5415121764706,-75.9554424705882
"463","IA","Cedar",41.812918625,-91.111342375
"464","MO","Cedar",37.72565075,-93.91565175
"465","NE","Cedar",42.5907162222222,-97.2469498888889
"466","PR","Ceiba",18.264872,-65.594769
"467","PA","Centre",40.8978222258065,-77.7515782903226
"468","IA","Cerro Gordo",43.0933236363636,-93.2575401818182
"469","CO","Chaffee",38.7184071666667,-106.191506166667
"470","AL","Chambers",32.8801192,-85.3072474
"471","TX","Chambers",29.7711468333333,-94.6115805
"472","IL","Champaign",40.1232916969697,-88.187236
"473","OH","Champaign",40.141391,-83.7567115
"474","MO","Chariton",39.517539375,-93.05769075
"475","MD","Charles",38.475165375,-76.968196625
"476","VA","Charles City",37.3668375,-77.0539275
"477","SD","Charles Mix",43.1166385,-98.48985375
"478","SC","Charleston",32.8314649705882,-79.9282038823529
"479","MI","Charlevoix",45.3338501428571,-85.1450218571429
"480","FL","Charlotte",26.9409978125,-82.0845775625
"481","VA","Charlotte",36.9987255,-78.6491103
"482","VA","Charlottesville City",38.0376415,-78.48540375
"483","GA","Charlton",30.64483,-82.0963895
"484","KS","Chase",38.3408818,-96.6308918
"485","NE","Chase",40.495345,-101.59925625
"486","GA","Chatham",32.0142506,-81.09388472
"487","NC","Chatham",35.6481086666667,-79.3097495555556
"488","GA","Chattahoochee",32.292547,-84.736706
"489","GA","Chattooga",34.4818855,-85.37885425
"490","KS","Chautauqua",37.0752544,-96.1862716
"491","NY","Chautauqua",42.25777595,-79.3571106
"492","NM","Chaves",33.2034216,-104.454192
"493","TN","Cheatham",36.2540964,-87.07468
"494","MI","Cheboygan",45.4826279,-84.5523871
"495","WA","Chelan",47.6903827857143,-120.365871857143
"496","NY","Chemung",42.1380618888889,-76.7814975
"497","NY","Chenango",42.529632,-75.6047085454545
"498","AL","Cherokee",34.1930998,-85.6118958
"499","GA","Cherokee",34.2326524444444,-84.4739353333333
"500","IA","Cherokee",42.75919075,-95.6419985
"501","KS","Cherokee",37.1856893333333,-94.814239
"502","NC","Cherokee",35.152534,-83.9267488
"503","OK","Cherokee",35.872498125,-95.012873375
"504","SC","Cherokee",35.0528045,-81.62150675
"505","TX","Cherokee",31.8308575555556,-95.1560766666667
"506","NE","Cherry",42.5830982222222,-101.111787
"507","VA","Chesapeake City",36.7416015555556,-76.2706018888889
"508","NH","Cheshire",42.9218982962963,-72.2550296296296
"509","PA","Chester",39.9891367313433,-75.7282431343284
"510","SC","Chester",34.692049,-81.022589
"511","TN","Chester",35.4608665,-88.52534175
"512","SC","Chesterfield",34.662841125,-80.203631625
"513","VA","Chesterfield",37.4123021666667,-77.5663134166667
"514","CO","Cheyenne",38.82650725,-102.6535915
"515","KS","Cheyenne",39.715407,-101.721025
"516","NE","Cheyenne",41.25236,-103.019821166667
"517","IA","Chickasaw",43.0749004285714,-92.353364
"518","MS","Chickasaw",33.9248532857143,-88.9522188571429
"519","AR","Chicot",33.30875675,-91.31364425
"520","TX","Childress",34.4998585,-100.2148255
"521","AL","Chilton",32.8482811428571,-86.7365678571429
"522","MI","Chippewa",46.29753195,-84.5345367
"523","MN","Chippewa",45.026903,-95.5968934
"524","WI","Chippewa",45.0572518,-91.2656087
"525","MN","Chisago",45.4711925833333,-92.880122
"526","VT","Chittenden",44.4627,-73.06321064
"527","AL","Choctaw",32.0519413636364,-88.2105660909091
"528","MS","Choctaw",33.296347,-89.2874406666667
"529","OK","Choctaw",34.0172475,-95.618702
"530","MT","Chouteau",47.8536935714286,-110.419473285714
"531","NC","Chowan",36.1924495,-76.605441
"532","IL","Christian",39.5352898461538,-89.3115566153846
"533","KY","Christian",36.8290438,-87.5079606
"534","MO","Christian",36.94697,-93.1779554166667
"535","NV","Churchill",39.5143333333333,-118.494300666667
"536","PR","Ciales",18.33616,-66.472087
"537","NM","Cibola",35.0502895,-107.987066
"538","PR","Cidra",18.181469,-66.169519
"539","OK","Cimarron",36.800899,-102.56050625
"540","FL","Citrus",28.85831485,-82.4609067
"541","OR","Clackamas",45.3034022,-122.39426316
"542","LA","Claiborne",32.811797,-92.949056
"543","MS","Claiborne",31.9732786666667,-90.8911693333333
"544","TN","Claiborne",36.5192910833333,-83.7060079166667
"545","WA","Clallam",48.1131643636364,-124.078511636364
"546","MI","Clare",43.960998,-84.848807
